array size,wave sort,optimized wave sort,chaos sort,shaker sort,selection sort,Comb sort,cycle sort,wave sort,shell sort,odd even sort,pancake sort,heap sort,insertion sort,bubble sort,
100,0,0,1,0,0,0,3,3,0,1,0,0,4,3,,
110,1,0,1,1,0,0,4,4,1,1,0,0,4,4,,
120,0,1,1,1,0,0,5,4,1,1,0,0,5,4,,
130,1,0,1,2,0,0,6,5,0,0,0,0,5,4,,
140,0,0,1,0,0,0,4,5,0,2,0,0,5,4,,
150,1,0,1,1,0,1,5,5,1,1,1,0,5,5,,
160,1,1,1,2,0,0,5,5,1,1,1,0,5,5,,
170,0,1,0,1,0,0,6,6,1,1,1,0,6,6,,
180,1,1,1,2,1,0,9,7,1,2,0,0,6,8,,
190,0,1,1,2,0,0,7,7,1,2,1,0,8,7,,
200,0,1,1,2,0,0,9,8,1,2,1,0,9,8,,
210,0,1,2,2,0,0,9,9,1,3,0,1,8,9,,
220,1,1,1,2,0,0,9,9,2,2,1,0,9,10,,
230,1,1,1,4,1,0,10,11,2,2,1,0,11,9,,
240,0,2,1,2,1,0,11,,2,3,1,0,,11,,
250,0,2,1,3,0,0,,,2,3,1,1,,,,
260,1,1,1,3,0,0,,,2,4,1,0,,,,
270,1,2,1,3,0,0,,,3,4,1,0,,,,
280,1,3,1,4,1,0,,,3,4,1,1,,,,
290,1,1,1,2,1,0,,,3,4,0,0,,,,
300,1,2,1,2,1,0,,,3,6,1,0,,,,
310,1,2,1,3,0,0,,,3,5,1,0,,,,
320,1,3,2,2,1,0,,,3,6,1,1,,,,
330,1,2,2,3,0,1,,,4,6,1,1,,,,
340,1,2,2,5,1,0,,,4,7,2,0,,,,
350,1,2,2,4,0,0,,,5,7,2,0,,,,
360,1,2,2,4,1,0,,,5,6,1,0,,,,
370,2,3,2,6,0,0,,,5,8,1,0,,,,
380,1,3,2,4,0,0,,,5,7,2,0,,,,
390,1,3,2,5,1,0,,,5,9,1,1,,,,
400,1,2,2,6,0,0,,,5,8,1,1,,,,
410,1,2,3,4,1,0,,,6,9,1,0,,,,
420,2,3,2,7,0,0,,,6,9,2,0,,,,
430,1,3,3,6,0,0,,,6,9,2,1,,,,
440,1,3,3,6,1,0,,,7,11,1,0,,,,
450,1,3,2,5,0,0,,,7,,2,0,,,,
460,2,3,2,6,1,0,,,7,,2,1,,,,
470,2,4,3,7,0,1,,,7,,2,1,,,,
480,2,4,3,6,0,1,,,7,,2,0,,,,
490,1,4,3,8,1,0,,,8,,3,0,,,,
500,2,4,3,6,1,0,,,9,,2,0,,,,
510,2,3,3,6,0,1,,,8,,2,1,,,,
520,2,5,3,6,1,0,,,11,,2,1,,,,
530,2,4,3,6,0,0,,,,,2,0,,,,
540,2,3,3,6,1,0,,,,,3,1,,,,
550,2,5,4,10,1,0,,,,,3,0,,,,
560,2,4,4,10,0,0,,,,,3,0,,,,
570,2,4,3,7,0,1,,,,,2,0,,,,
580,2,3,4,11,0,0,,,,,3,1,,,,
590,2,6,3,,0,1,,,,,3,0,,,,
600,2,5,3,,0,0,,,,,3,1,,,,
610,2,5,4,,0,0,,,,,3,0,,,,
620,3,5,4,,1,0,,,,,3,0,,,,
630,2,4,4,,0,1,,,,,3,1,,,,
640,3,5,4,,1,1,,,,,3,1,,,,
650,2,7,4,,0,0,,,,,3,1,,,,
660,3,7,4,,0,0,,,,,4,0,,,,
670,2,6,5,,1,1,,,,,3,1,,,,
680,3,5,5,,1,1,,,,,3,0,,,,
690,2,6,4,,0,0,,,,,3,0,,,,
700,3,7,5,,1,0,,,,,3,1,,,,
710,3,5,5,,1,0,,,,,3,1,,,,
720,3,5,5,,0,1,,,,,4,0,,,,
730,3,5,4,,0,1,,,,,3,1,,,,
740,3,6,5,,1,0,,,,,3,1,,,,
750,3,6,5,,1,1,,,,,4,1,,,,
760,3,6,5,,1,1,,,,,4,1,,,,
770,3,6,5,,0,0,,,,,3,0,,,,
780,3,7,5,,1,1,,,,,4,0,,,,
790,3,5,5,,0,0,,,,,3,0,,,,
800,3,5,5,,1,1,,,,,3,1,,,,
810,4,7,5,,0,0,,,,,3,0,,,,
820,3,7,6,,0,0,,,,,4,1,,,,
830,3,8,5,,1,1,,,,,4,0,,,,
840,3,8,6,,1,1,,,,,4,0,,,,
850,3,7,7,,1,0,,,,,4,1,,,,
860,3,7,6,,1,0,,,,,5,1,,,,
870,3,9,6,,1,0,,,,,4,0,,,,
880,4,10,6,,0,1,,,,,4,1,,,,
890,4,6,6,,1,1,,,,,4,1,,,,
900,4,8,6,,1,1,,,,,4,1,,,,
910,3,8,6,,1,1,,,,,4,1,,,,
920,4,9,6,,1,0,,,,,3,0,,,,
930,3,8,7,,1,0,,,,,3,0,,,,
940,3,7,7,,0,0,,,,,4,1,,,,
950,4,7,7,,1,1,,,,,3,0,,,,
960,3,6,6,,1,1,,,,,4,1,,,,
970,3,8,8,,1,1,,,,,5,1,,,,
980,5,11,9,,1,1,,,,,5,1,,,,
990,5,,
